collected_at,area,yuan_to_wan_gold,wan_gold_to_yuan,price_yuan,stock
2026-08-30T11:00:01Z,小白兔,4.0404,0.2475,99,1
2026-08-30T11:00:01Z,漂漂猪,4.065,0.246,24.6,7
2026-08-30T11:00:01Z,绿水灵,4.61,0.2169,100,1
2026-08-30T11:00:01Z,蘑菇仔,4.4167,0.2264,12,1
2026-08-30T11:00:01Z,蓝蜗牛,4.2105,0.2375,47.5,1
2026-08-30T16:30:01Z,小白兔,4.1935,0.2385,31,1
2026-08-30T16:30:01Z,漂漂猪,4.0816,0.245,98,1
2026-08-30T16:30:01Z,绿水灵,4.6269,0.2161,134,1
2026-08-30T16:30:01Z,蘑菇仔,4.5528,0.2196,61.5,1
2026-08-30T16:30:01Z,蓝蜗牛,4.5289,0.2208,65.8,1
2026-08-30T19:30:01Z,小白兔,4.0786,0.2452,140,1
2026-08-30T19:30:01Z,漂漂猪,4.0323,0.248,124,1
2026-08-30T19:30:01Z,绿水灵,4.5559,0.2195,230.47,2
2026-08-30T19:30:01Z,蘑菇仔,4.4465,0.2249,281.12,1
2026-08-30T19:30:01Z,蓝蜗牛,4.3956,0.2275,45.5,1
2026-08-30T22:30:01Z,小白兔,4.01,0.2494,100,6
2026-08-30T22:30:01Z,漂漂猪,4.0161,0.249,249,1
2026-08-30T22:30:01Z,绿水灵,4.5559,0.2195,230.47,2
2026-08-30T22:30:01Z,蘑菇仔,4.4643,0.224,112,1
2026-08-30T22:30:01Z,蓝蜗牛,4.3,0.2326,200,1
2026-08-31T01:00:01Z,小白兔,4.2105,0.2375,38,1
2026-08-31T01:00:01Z,漂漂猪,4.0816,0.245,24.5,15
2026-08-31T01:00:01Z,绿水灵,4.6154,0.2167,39,1
2026-08-31T01:00:01Z,蘑菇仔,4.5098,0.2217,51,1
2026-08-31T01:00:01Z,蓝蜗牛,4.5455,0.22,88,1
2026-08-31T08:00:01Z,小白兔,4.3478,0.23,115,1
2026-08-31T08:00:01Z,漂漂猪,4.0909,0.2444,44,1
2026-08-31T08:00:01Z,绿水灵,4.7619,0.21,63,1
2026-08-31T08:00:01Z,蘑菇仔,4.55,0.2198,100,1
2026-08-31T08:00:01Z,蓝蜗牛,4.4053,0.227,22.7,2
2026-08-31T16:00:01Z,小白兔,4.2123,0.2374,142.44,1
2026-08-31T16:00:01Z,漂漂猪,4.1979,0.2382,96,1
2026-08-31T16:00:01Z,绿水灵,4.6729,0.214,107,1
2026-08-31T16:00:01Z,蘑菇仔,4.5455,0.22,110,1
2026-08-31T16:00:01Z,蓝蜗牛,4.7619,0.21,420,1
