collected_at,area,yuan_to_wan_gold,wan_gold_to_yuan,price_yuan,stock
2026-08-30T11:00:01Z,小白兔,4.0404,0.2475,99,1
2026-08-30T11:00:01Z,漂漂猪,4.065,0.246,24.6,7
2026-08-30T11:00:01Z,绿水灵,4.61,0.2169,100,1
2026-08-30T11:00:01Z,蘑菇仔,4.4167,0.2264,12,1
2026-08-30T11:00:01Z,蓝蜗牛,4.2105,0.2375,47.5,1
2026-08-30T16:30:01Z,小白兔,4.1935,0.2385,31,1
2026-08-30T16:30:01Z,漂漂猪,4.0816,0.245,98,1
2026-08-30T16:30:01Z,绿水灵,4.6269,0.2161,134,1
2026-08-30T16:30:01Z,蘑菇仔,4.5528,0.2196,61.5,1
2026-08-30T16:30:01Z,蓝蜗牛,4.5289,0.2208,65.8,1
2026-08-30T19:30:01Z,小白兔,4.0786,0.2452,140,1
2026-08-30T19:30:01Z,漂漂猪,4.0323,0.248,124,1
2026-08-30T19:30:01Z,绿水灵,4.5559,0.2195,230.47,2
2026-08-30T19:30:01Z,蘑菇仔,4.4465,0.2249,281.12,1
2026-08-30T19:30:01Z,蓝蜗牛,4.3956,0.2275,45.5,1
